,wine,year,price,parker_score,region
0,Pazo Señorans,2021,"12,55",92,D.O. Rías Baixas (Galicia)
1,Ultreia Godello,2020,"14,95",93,D.O. Bierzo (Castilla y León)
2,Predicador,2019,"23,50",92,D.O.Ca. Rioja (La Rioja)
3,Bernabeleva Carril del Rey,2019,"29,90",94+,D.O. Vinos de Madrid (Madrid)
4,Izadi Larrosa Negra,2020,"8,50",91,D.O.Ca. Rioja (La Rioja)
5,Frontonio Microcósmico Garnacha,2020,"11,50",92,VT Valdejalón (Aragón)
6,Ponce,2019,"34,38",96,D.O. Manchuela (Castilla La Mancha)
7,Couto Mixto Tinto,2019,"16,28",91,D.O. Monterrei (Galicia)
8,Mestizaje,2019,"9,95",92,V.P. El Terrerazo (Comunidad Valenciana)
9,Cantos del Diablo,2019,"75,53",94,D.O. Méntrida (Castilla La Mancha)
10,Clos Baltasar,2019,"13,00",92+,D.O. Calatayud (Aragón)
11,4 Monos Aguja del Fraile,2018,"20,55",94,D.O. Vinos de Madrid (Madrid)
12,Williams & Humbert Dos Cortados 20 Años VOS 5, cl.,"26,55",92,D.O. Jerez-Xérès-Sherry (Andalucía)
13,Scala Dei Masdeu,2016,"85,00",96+,D.O.Q. Priorat (Cataluña)
14,Las Lamas 3 Litros (Jéroboam),2021,"423,00",96,D.O. Bierzo (Castilla y León)
15,Tras da Canda Caiño Blanco,2016,"29,75",93,D.O. Rías Baixas (Galicia)
16,Clio,2019,"41,50",93,D.O. Jumilla (Murcia)
17,Narupa Piorno,2019,"21,10",93,D.O. Rías Baixas (Galicia)
18,Tamerán Verdello,2020,"29,75",92,DO Gran Canaria (Islas Canarias)
19,Mas de la Rosa Vinyes Velles,2018,"375,00",96,D.O.Q. Priorat (Cataluña)
20,Plácet Valtomelloso Magnum,2019,"42,95",95,D.O.Ca. Rioja (La Rioja)
21,Corimbo I Magnum,2015,"76,46",93,D.O. Ribera del Duero (Castilla y León)
22,Cantos de Valpiedra Magnum,2015,"21,95",90,D.O.Ca. Rioja (La Rioja)
23,Beberás de la copa de tu hermana,2020,"12,50",92,D.O. Valencia (Comunidad Valenciana)
24,Bruno Murciano Las Blancas,2021,"10,50",90,D.O. Valencia (Comunidad Valenciana)
25,Canopy Tres Patas,2017,"13,60",91,D.O. Méntrida (Castilla La Mancha)
26,Curii,2019,"23,40",93,D.O. Alicante (Comunidad Valenciana)
27,La Vigne de El Rebolon,2016,"42,95",93,D.O. Bierzo (Castilla y León)
28,Moscatel Superior E,ilín,"20,80",96,D.O. Jerez-Xérès-Sherry (Andalucía)
29,Oloroso Emperatriz Eugenia 5, cl.,"18,00",92,D.O. Jerez-Xérès-Sherry (Andalucía)
30,Colosía Solera Familiar Pedro Ximénez 5, cl.,"72,50",91,D.O. Jerez-Xérès-Sherry (Andalucía)
31,Colosía Pedro Xi,énez,"17,87",89,D.O. Jerez-Xérès-Sherry (Andalucía)
32,Envínate Lousas Parcela Seoane,2019,"49,45",98,(Galicia)
33,Pingus,2019,"1.230,25",99,D.O. Ribera del Duero (Castilla y León)
34,O Morto A Rocha Blanco,2018,"42,45",93,D.O. Ribeiro (Galicia)
35,Javier Revert Sensal,2020,"21,45",93+,D.O. Valencia (Comunidad Valenciana)
36,Dominio de Es La Diva,2018,"585,00",98,D.O. Ribera del Duero (Castilla y León)
37,Suertes del Marqués Vidonia,2020,"31,45",96,D.O. Valle de la Orotava (Islas Canarias)
38,Enrique Mendoza Estrecho Monastrell,2018,,94+,D.O. Alicante (Comunidad Valenciana)
39,Contador,2016,,98,D.O.Ca. Rioja (La Rioja)
