winery,wine,year,rating,num_review,country,region,price,type,body,acidity
Finca Venta de Don Quijote,Sauvignon Blanc - Macabeo,2021,"3,9",366,España,La Mancha,"2,72",Vino blanco,,
Cata Regia,Crianza,2018,"3,6",103,España,Terra Alta,"2,99",Vino tinto,,
Miedes,Viura,2021,"3,6",10,España,Calatayud,"3,20",Vino blanco,,
Miedes,Crianza,2020,"3,6",25,España,Calatayud,"3,20",Vino tinto,,
Canforrales,Clásico Tempranillo,2018,"3,6",116,España,La Mancha,"3,50",Vino tinto,,
Nuviana,Chardonnay,2018,"3,7",971,España,Valle del Cinca,"3,59",Vino blanco,,
Nuviana,Cabernet Sauvignon - Tempranillo Rosado,2020,"3,7",72,España,Valle del Cinca,"3,59",Vino rosado,,
Reymos,Amatista Moscato Rosado,2297,"3,8",316,España,Valencia,"3,62",Vino espumoso,,
Finca La Estacada,Tempranillo Crianza,2014,"3,6",373,España,La Mancha,"3,62",Vino tinto,,
Reymos,Amatista Moscato,6538,"3,9",1224,España,Valencia,"3,62",Vino espumoso,,
Valcarlos,Fortius Blanco Chardonnay,2020,"3,6",36,España,Navarra,"3,75",Vino blanco,,
Matarromera,Melior Verdejo,2020,"3,7",195,España,Rueda,"3,75",Vino blanco,,
Los Hermanos Manzanos,Tempranillo,2020,"3,6",130,España,Rioja,"3,79",Vino tinto,,
Las Campanas,Chardonnay,2020,"3,6",11,España,Navarra,"3,85",Vino blanco,,
Félix Solís,Casa Albali Garnacha Rosé,2020,"3,8",246,España,Valdepeñas,"3,95",Vino rosado,,
Félix Solís,Casa Albali Tempranillo - Shiraz,2019,"3,6",156,España,Valdepeñas,"3,95",Vino tinto,,
Félix Solís,Casa Albali Verdejo - Sauvignon Blanc,2020,"3,8",355,España,Valdepeñas,"3,95",Vino blanco,,
Reserva de la Tierra,Pago de Pelde Syrah - Tempranillo,2017,"3,8",109,España,Terra Alta,"3,99",Vino tinto,,
Bodegas Faustino,VII Rosado,2021,"3,7",82,España,Rioja,"3,99",Vino rosado,,
J. Fernando,Barrica 12 Meses Tempranillo,2018,"3,8",11,España,Castilla,"3,99",Vino tinto,,
Orowines,Comoloco Monastrell,2020,"3,8",31,España,Jumilla,"3,99",Vino tinto,,
